Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Impact
1991,7,3,,,Karthala,Indian O-W,Comoros,-12.15.00,43.38.00,2361,Shield volcano,2,,,,,,,,,1,,,1
1991,8,8,,,"Hudson, Cerro",Chile-S,Chile,-45.9,-73.37.00,1905,Stratovolcano,5,,,,,,,,,1,,,1
1991,10,24,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,6.58,137.12.00,1580,Stratovolcano,1,"T,P",1,1,,,,,,,,,1
1991,12,14,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,2,,,,,,,,2.5,2,,,2
1992,1,21,,,Karangetang,Sangihe Is-Indonesia,Indonesia,15.01,131.47.00,1797,Stratovolcano,2,M,2,1,,,,,,,,,1
1992,3,18,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,123.39.00,2565,Complex volcano,,G,1,1,,,2,1,,,,,2
1992,4,10,,,"Negro, Cerro",Nicaragua,Nicaragua,20.26,-97.42.00,728,Cinder cone,3,"T,I",11,1,,,50,1,3,2,,1,5
1992,5,11,,,Karangetang,Sangihe Is-Indonesia,Indonesia,15.01,131.47.00,1797,Stratovolcano,1,P,6,1,,,1,1,,,,,2
1992,7,5,,,Marapi,Sumatra,Indonesia,-0.38.00,107.54.00,2885,Complex volcano,2,T,1,1,,,5,1,,,,,2
1992,7,12,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35.00,1486,Stratovolcano,1,m,6,1,,,,,,,,,1
1992,9,17,,,Spurr,Alaska-SW,United States,65.59.00,-156.11.00,3374,Stratovolcano,4,I,1,1,,,,,2,2,,,3
1992,,,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,T,3,1,,,,,,,,,1
1993,1,14,,,Galeras,Colombia,Colombia,1.22,-77.37.00,4276,Complex volcano,2,T,9,1,,,,,,,,,1
1993,1,21,,,Wurlali,Banda Sea,Indonesia,-9.05.00,139.15.00,868,Stratovolcano,,m,1,1,,,12,1,,,,,2
1993,2,2,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,2,P,75,2,,,,,,,,,2
1993,3,12,,,Guagua Pichincha,Ecuador,Ecuador,-2.51.00,-87.58.00,4784,Stratovolcano,1,T,2,1,,,,,,,,,1
1993,4,19,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,,A,1,1,,,22,1,,,,,2
1993,6,13,,,Krakatau,Indonesia,Indonesia,-7.41.00,112.03.00,285,Caldera,1,T,1,1,,,5,1,,,,,2
1993,6,23,,,Unzendake,Kyushu-Japan,Japan,44.41.00,134.59.00,1483,Complex volcano,1,P,1,1,,,,,,,,1,2
1993,6,26,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35.00,1486,Stratovolcano,1,m,4,1,,,,,,,,,1
1993,10,4,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35.00,1486,Stratovolcano,,m,14,1,,,,,,,,,1
1994,1,15,,,Yasur,Vanuatu-SW Pacific,Vanuatu,-27.52.00,176.27.00,361,Stratovolcano,3,T,1,1,,,,,,,,,1
1994,2,3,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,P,6,1,,,,,,,,,1
1994,5,29,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Caldera,1,G,1,1,,,,,,,,,1
1994,9,19,2229,,Rabaul,New Britain-SW Pac,Papua New Guinea,-8.06.00,155.14.00,688,Pyroclastic shield,3,"T,W,E",4,1,,,,,86,4,,,5
1994,11,3,,,Rinjani,Lesser Sunda Is,Indonesia,-8.42.00,116.47.00,3726,Stratovolcano,3,m,31,1,,,,,,,,,1
1994,11,22,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,3,P,66,2,,,100,2,,,,,4
1995,2,4,,,Yasur,Vanuatu-SW Pacific,Vanuatu,-27.52.00,176.27.00,361,Stratovolcano,3,T,2,1,,,,,,,,,1
1995,2,11,,,Yakedake,Honshu-Japan,Japan,39.47.00,146.47.00,2455,Stratovolcano,1,T,4,1,,,,,,,,,1
1995,4,2,,,Fogo,Cape Verde Is,Cape Verde,15.35,-24.35.00,2829,Stratovolcano,2,,,,,,20,1,,1,10,1,3
1995,4,7,,,Pacaya,Guatemala,Guatemala,20.22,-100.01.00,2569,Complex volcano,3,M,1,1,,,,,,1,1,1,3
1995,5,15,,,Kelimutu,Lesser Sunda Is,Indonesia,-9.17.00,122.22.00,1639,Complex volcano,,,1,1,,,,,,,,,1
1995,9,6,,,Melebingoy,Mindanao-Philippines,Philippines,7.53,138.52.00,1824,Stratovolcano,,,60,2,,,,,,2,300,3,7
1996,4,30,,,Popocatepetl,Mexico,Mexico,19.23,-108.22.00,5393,Stratovolcano,3,,5,1,,,,,,1,,,2
1996,8,10,,,Kanlaon,Philippines-C,Philippines,10.41,123.13.00,2422,Stratovolcano,2,T,3,1,,,18,1,,,,,2
1996,9,27,,,Maderas,Nicaragua,Nicaragua,18.26,-93.35.00,1394,Stratovolcano,,m,6,1,,,,1,,,,,2
1996,9,30,,,Grimsvotn,Iceland-NE,Iceland,70.56.00,-22.16.00,1719,Caldera,3,,,,,,,,,1,,,1
1996,12,3,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,3,P,13,1,,,29,1,,,,,2
1997,1,14,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,2,,6,1,,,,1,,,,,2
1997,4,17,,,Karangetang,Sangihe Is-Indonesia,Indonesia,15.01,131.47.00,1797,Stratovolcano,1,P,3,1,,,,,,,,,1
1997,6,25,,,Soufriere Hills,W Indies,Montserrat,17.12,-62.18.00,915,Stratovolcano,3,P,22,1,1,,,,,,,,1
1997,7,12,,,Hakkodasan,Honshu-Japan,Japan,50.59.00,154.37.00,1585,Stratovolcano,,G,3,1,,,,,,,,,1
1997,8,1,,,Soufriere Hills,W Indies,Montserrat,17.12,-62.18.00,915,Stratovolcano,3,,2,1,,,,,,,,,1
1997,9,2,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,T,2,1,,,,,,,,,1
1997,9,15,,,Adatarayama,Honshu-Japan,Japan,47.47.00,144.41.00,1728,Stratovolcano,,G,4,1,,,,,,,,,1
1997,11,23,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Caldera,,G,2,1,,,,,,,,,1
1998,4,28,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,,L,1,1,,,,,,,,,1
1998,7,,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Stratovolcano,,m,10,1,,,,,,,,,1
1998,10,30,,,San Cristobal,Nicaragua,Nicaragua,23.42,-87.04.00,1745,Stratovolcano,,m,1620,4,,,,,,,,,4
1999,8,15,,,Sheveluch,Kamchatka,Russia,66.53.00,161.36.00,3283,Stratovolcano,4,,,,,,,,,1,,,1
1999,10,5,,,Guagua Pichincha,Ecuador,Ecuador,-2.51.00,-87.58.00,4784,Stratovolcano,3,T,2,1,,,,,,,,,1
1999,10,16,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,3,T,1,1,,,4,1,,,,,2
2000,6,27,2340,5568,Miyakejima,Izu Is-Japan,Japan,35.34.00,147.46.00,775,Stratovolcano,2,,,,,,,,,1,,,1
2000,7,27,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,T,2,1,,,,,,,,,1
2000,8,23,,,Arenal,Costa Rica,Costa Rica,17.43,-95.43.00,1670,Stratovolcano,3,P,2,1,,,1,1,,,,,2
2000,11,3,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,,G,2,1,,,,,,,,,1
2000,11,,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,2,A,1,1,,,,,,,,,1
2001,5,14,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,3,,1,1,,,,,,1,,,2
2001,7,26,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,2,,,,,,,,,1,,1,2
2001,8,5,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,2,P,2,1,,,,,,,,,1
2001,10,20,,,Stromboli,Italy,Italy,51.09.00,18.33,924,Stratovolcano,2,T,1,1,,,,,,,,,1
2002,1,3,,,Karangetang,Sangihe Is-Indonesia,Indonesia,15.01,131.47.00,1797,Stratovolcano,3,M,,,,,,,,1,,1,2
2002,1,17,,,Nyiragongo,Africa-C,"Congo, DRC",-1.52.00,29.25.00,3470,Stratovolcano,1,L,100,2,,,400,3,,3,,3,11
2002,8,28,,5659,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,3,,,,,,32,1,,2,,2,5
2002,11,3,,,Reventador,Ecuador,Ecuador,-1.17.00,-87.56.00,3562,Stratovolcano,4,I,,1,,,,1,,1,,1,4
2002,12,30,2923,,Stromboli,Italy,Italy,51.09.00,18.33,924,Stratovolcano,,,,,,,,1,,1,,1,3
2002,,,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,3,T,3,1,,,,,,,,,1
2004,1,29,,,Egon,Lesser Sunda Is,Indonesia,-19.16.00,129.35.00,1661,Stratovolcano,1,T,1,1,,,,,,,,,1
2004,6,8,,,Tengger Caldera,Java,Indonesia,-22.42.00,113.35.00,2329,Stratovolcano,2,T,2,1,,,5,1,,,,,2
2004,10,24,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,4,T,5,1,,,,,,,,,1
2005,1,27,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,4,T,1,1,,,14,1,,,,,2
2005,10,1,,,Santa Ana,El Salvador,El Salvador,27.13.00,-90.03.00,2381,Stratovolcano,3,A,2,1,,,,1,,,,,2
2005,11,25,,,Karthala,Indian O-W,Comoros,-12.15.00,43.38.00,2361,Shield volcano,3,T,1,1,,,,,,1,,,2
2006,3,17,,,Raoul Island,Kermadec Is,New Zealand,-29.27.00,-178.32.00,516,Stratovolcano,1,T,1,1,,,,,,,,,1
2006,6,7,,,Bulusan,Luzon-Philippines,Philippines,24.49.00,124.56.00,1535,Stratovolcano,2,,1,1,,,,,,,,,1
2006,6,14,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,1,P,2,1,,,,,,,,,1
2006,7,18,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,3,,1,1,,,,,,,,,1
2006,8,17,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,3,T,5,1,,2,13,1,,3,,3,10
2006,11,30,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,1,m,1266,4,,,,,,1,,,5
2007,3,,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,4,M,4,1,,,1,1,,,,,2
2007,4,18,,,"Huila, Nevado del",Colombia,Colombia,3.33,-76.03.00,5364,Stratovolcano,,,,,,,,,,2,,1,3
2007,5,19,5758,,Ritter Island,New Guinea-NE of,Papua New Guinea,-13.39.00,149.55.00,75,Stratovolcano,1,"A,W",,,,,,,,1,,1,2
2007,7,7,,,Salak,Java,Indonesia,-17.56.00,118.13.00,2218,Stratovolcano,,G,6,1,,,,,,,,,1
2007,9,30,,,"Tair, Jebel at",Red Sea,Yemen,15.55,42.23.00,244,Stratovolcano,3,,7,1,,,1,1,,,,,2
2008,5,2,,,Chaiten,Chile-S,Chile,-55.55.00,-82.51.00,1122,Caldera,,,1,1,,,,,,,,,1
2008,8,22,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,3,M,2,1,,,2,1,,1,2,1,4
2008,11,20,,,"Huila, Nevado del",Colombia,Colombia,3.33,-76.03.00,5364,Stratovolcano,,,10,1,,1,,1,,,,,3
2009,3,23,,,Redoubt,Alaska-SW,United States,68.05.00,-164.22.00,3108,Stratovolcano,,,,,,,,,,1,,,1
2009,11,30,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,,,,,,,,,,2,,,2
2010,1,,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,3,,,,,,,,,1,,,1
2010,3,31,,,Eyjafjallajokull,Iceland-S,Iceland,73.33.00,-29.33.00,1651,Stratovolcano,2,,2,1,,,,,,,,,1
2010,5,27,,,Pacaya,Guatemala,Guatemala,20.22,-100.01.00,2569,Complex volcano,1,T,1,1,3,1,,,,1,3,1,4
2010,8,6,,,Karangetang,Sangihe Is-Indonesia,Indonesia,15.01,131.47.00,1797,Stratovolcano,3,,4,1,,,5,1,,,,1,3
2010,8,30,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,,,2,1,,,,,,,,,1
2010,10,26,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,,,367,3,,,277,3,600,4,,3,13
2010,11,,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,3,,,,,,,,,1,,,1
2010,12,28,,,Tengger Caldera,Java,Indonesia,-22.42.00,113.35.00,2329,Stratovolcano,,,,,,,,,,1,,,1
2011,1,3,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,,M,1,1,,,1,1,,1,,,3
2011,1,28,,,Kirishimayama,Kyushu-Japan,Japan,46.34.00,144.22.00,1700,Shield volcano,,,,,,,,1,,1,,,2
2011,2,23,,,Bulusan,Luzon-Philippines,Philippines,24.49.00,124.56.00,1535,Stratovolcano,2,,1,1,,,,,,,,,1
2011,3,18,,,Karangetang,Sangihe Is-Indonesia,Indonesia,15.01,131.47.00,1797,Stratovolcano,,,,,,,,,,1,,,1
2011,4,,,,Tungurahua,Ecuador,Ecuador,-8.47.00,-85.22.00,5023,Stratovolcano,4,,,,,,,,,1,,,1
2011,6,4,,,Puyehue-Cordon Caulle,Chile-C,Chile,-40.59.00,-73.57.00,2236,Stratovolcano,4,,,,,,,,,2,,,2
2011,6,22,,,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,4,,31,1,,,,3,,1,,,5
2011,7,9,,,Katla,Iceland-S,Iceland,73.33.00,-20.23.00,1490,Subglacial volcano,,,,,,,,,,1,,,1
2011,7,17,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,6.58,137.12.00,1580,Stratovolcano,,,1,1,,,,,,,,,1
2011,12,27,,,Gamalama,Halmahera-Indonesia,Indonesia,1.21,132.32.00,1714,Stratovolcano,3,m,4,1,,,,1,,,,,2
2012,2,10,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,,,,,,,,,,2,,,2
2012,3,2,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,,L,,,,,,,,1,1,1,2
2012,12,12,,,Tolbachik,Kamchatka,Russia,68.52.00,165.26.00,3611,Shield volcano,,,,,,,,,,1,,,1
2013,2,12,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,,M,1,1,,,1,1,,1,,,3
2013,2,,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32.00,132.48.00,875,Stratovolcano,,,,,,,,,,1,,1,2
2013,5,7,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,,,5,1,,,8,1,,,,,2
2013,8,10,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32.00,132.48.00,875,Stratovolcano,3,,5,1,,,,,,,,,1
2013,9,1,,,Ubinas,Peru,Peru,-21.45.00,-84.57.00,5608,Stratovolcano,,,,,,,,,,1,,,1
2013,9,4,,,Aira,Kyushu-Japan,Japan,40.37.00,140.59.00,1117,Stratovolcano,,,,,,,,,,1,,,1
2013,9,15,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,2,,,,,,,,,2,,,2
2013,12,13,,,Okataina,New Zealand,New Zealand,-40.37.00,184.27.00,1111,Lava dome,,G,1,1,,,,,,,,,1
2014,2,1,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,,,17,1,,,3,1,,1,,2,5
2014,2,13,,,Kelud,Java,Indonesia,-22.35.00,117.14.00,1730,Stratovolcano,,,7,1,,,,,,3,4098,4,8
2014,9,27,,,Ontakesan,Honshu-Japan,Japan,49.53.00,137.48.00,3067,Complex volcano,3,,55,2,,,70,2,,,,,4
2014,11,10,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,,,,,,,,,14.5,3,1,1,4
2014,11,23,,,Fogo,Cape Verde Is,Cape Verde,15.35,-24.35.00,2829,Stratovolcano,,L,,,,,,,,2,230,3,5
2014,12,18,,,Gamalama,Halmahera-Indonesia,Indonesia,1.21,132.32.00,1714,Stratovolcano,,,1,1,,,4,1,,,,,2
2015,2,20,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,,,,,,,,,,1,,1,2
2015,4,22,,,Calbuco,Chile-S,Chile,-41.33.00,-82.18.00,1974,Stratovolcano,,,,,,,,,,2,,2,4
2015,5,7,,,Karangetang,Sangihe Is-Indonesia,Indonesia,15.01,131.47.00,1797,Stratovolcano,,,,,,,,,,1,,1,2
2015,7,31,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,2,,,,,,2,1,,1,,,2
2015,10,16,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,,M,1,1,,,,,,1,,,2
2015,10,,,,Okataina,New Zealand,New Zealand,-40.37.00,184.27.00,1111,Lava dome,,I,1,1,,,,,,,,,1
2016,5,9,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,,,1,1,,,4,1,,1,3,1,4
2016,5,21,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,,,7,1,,,3,1,100,4,,,6
2016,6,9,,,Yellowstone,US-Wyoming,United States,44.43.00,-111.07.00,2805,Caldera,,,1,1,,,,,,,,,1
2016,9,27,,,Rinjani,Lesser Sunda Is,Indonesia,-8.42.00,116.47.00,3726,Stratovolcano,,,,,44,1,,,,,,,1
2016,10,8,,,Asosan,Kyushu-Japan,Japan,46.45.00,132.25.00,1592,Caldera,,T,,,,,,,,1,,,1
2017,3,15,,,Etna,Italy,Italy,49.28.00,30.39.00,3357,Stratovolcano,,P,,,,,10,1,,,,,1
2017,4,13,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,2,P,,,,,,,,1,,2,3
2017,6,6,,,Fuego,Guatemala,Guatemala,21.53,-91.28.00,3763,Stratovolcano,2,P,,,,,,,,2,,,2
2017,7,1,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,123.39.00,2565,Complex volcano,,,8,1,,,11,1,,,,,2
2017,9,12,,,Campi Flegrei,Italy,Italy,53.47.00,16.19,458,Caldera,,,3,1,,,,,,,,,1
2017,9,23,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-21.29.00,180.55.00,1496,Shield volcano,,T,,,,,,,,1,,,1
2017,12,18,,,Merapi,Java,Indonesia,-7.54.00,117.26.00,2910,Stratovolcano,,A,8,1,,,8,1,,,,,2
2017,12,27,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,,T,,,,,,,,2,,,2
2018,1,5,,,Kadovar,New Guinea-NE of,Papua New Guinea,-13.08.00,153.48.00,365,Stratovolcano,2,T,,,,,,,,1,,,1
2018,1,13,,,Mayon,Luzon-Philippines,Philippines,17.17,134.25.00,2462,Stratovolcano,2,"T,P",,,,,1972,4,12.24,2,,,6
2018,1,23,,,Kusatsu-Shiranesan,Honshu-Japan,Japan,46.18.00,146.48.00,2165,Stratovolcano,1,T,1,1,,,11,1,,1,,,3
2018,2,1,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,1,G,1,1,,,3,1,,,,,2
2018,3,21,,,Ijen,Java,Indonesia,-8.58.00,118.02.00,2769,Stratovolcano,,G,,,,,30,1,,,,,1
2018,3,30,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-21.29.00,180.55.00,1496,Shield volcano,3,"T,G,M",4,1,,,,,,2,,1,4
2018,4,28,5678,10332,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,1,L,,,,,1,1,370,4,716,3,8
2018,6,3,,,Fuego,Guatemala,Guatemala,21.53,-91.28.00,3763,Stratovolcano,2,P,201,3,229,3,27,1,120,4,186,3,14
2018,7,16,,,Kilauea,Hawaiian Is,United States,26.01.00,-159.47.00,1222,Shield volcano,,T,,,,,23,1,1,1,,,2
2018,8,25,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,4,"L,T",,,,,,,,3,164,3,6
2018,12,15,,10382,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25.00,168.12.00,1334,Pyroclastic shield,2,"S,T,G",,,,,,,,2,,1,3
2019,1,7,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,4,T,,,,,,,,1,,,1
2019,5,7,,,Sinabung,Sumatra,Indonesia,3.17,104.32.00,2460,Stratovolcano,4,T,,,,,,,,2,,,2
2019,6,26,,,Ulawun,New Britain-SW Pac,Papua New Guinea,-5.05.00,151.33.00,2334,Stratovolcano,4,"P,T",,,,,2,1,14,3,,,4
2019,6,28,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08.00,145.37.00,1807,Stratovolcano,4,"A,P,T",,,,,,,,2,,,2
2019,7,3,5913,,Stromboli,Italy,Italy,51.09.00,18.33,924,Stratovolcano,2,"P,T,W",1,1,,,1,1,,,,,2
2019,12,9,,,Whakaari/White Island,New Zealand,New Zealand,-37.52.00,177.18.00,294,Stratovolcano,2,T,22,1,,,25,1,,,,,2
2020,1,12,,,Taal,Luzon-Philippines,Philippines,14.11,136.38.00,311,Stratovolcano,4,T,39,1,,,,,67,4,4573,4,9
2020,5,29,5748,10501,Ijen,Java,Indonesia,-8.58.00,118.02.00,2769,Stratovolcano,,"G,W, S",1,1,,,,,,,,,1
2021,3,5,,,Sangay,Ecuador,Ecuador,-2.05.00,-83.41.00,5286,Stratovolcano,2,T,,,,,,,,2,,,2
2021,3,,,,Pacaya,Guatemala,Guatemala,20.22,-100.01.00,2569,Complex volcano,1,"L,T",,,,,,,,1,,,1
2021,4,9,5905,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18.00,1220,Stratovolcano,4,"T,W",,,,,,,325,4,,,4
2021,5,22,,10545,Nyiragongo,Africa-C,"Congo, DRC",-1.52.00,29.25.00,3470,Stratovolcano,2,"L,I,S",32,1,,,,,,3,5000,4,8
2021,9,19,,,La Palma,Canary Is,Spain,28.57.00,-18.23.00,2426,Stratovolcano,3,L,1,1,,,,,924,4,1345,4,9
2021,12,4,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,4,T,51,1,9,1,169,3,20,3,2970,4,12
2022,1,15,5824,,Hunga Tonga-Hunga Ha'apai,Tonga-SW Pacific,Tonga,-29.13.00,-181.24.00,114,Submarine volcano,5,W,,,,,,,17.12,3,,,3
2022,6,22,,,Popocatepetl,Mexico,Mexico,19.23,-108.22.00,5393,Stratovolcano,2,P,1,1,,,,,,,,,1
2022,12,4,,,Semeru,Java,Indonesia,-9.48.00,127.22.00,3657,Stratovolcano,4,"T,M",,,,,,,,1,,,1
2023,7,7,,,Bagana,Bougainville-SW Paci,Papua New Guinea,-8.17.00,158.16.00,1855,Lava cone,2,"T,G",,,,,,,,1,,1,2
2023,12,3,,,Marapi,Sumatra,Indonesia,-0.38.00,107.54.00,2885,Complex volcano,,"P,T",23,1,0,,12,1,,,,,2
2023,12,18,,,Reykjanes,Iceland-SW,Iceland,76.37.00,-33.57.00,140,Crater rows,,"S,L",1,1,,,,,,2,3,1,4
2024,4,16,,,Ruang,Sangihe Is-Indonesia,Indonesia,2.3,125.37.00,725,Stratovolcano,,,,,,,,,15.5,3,3200,4,7
2024,4,20,,,Ijen,Java,Indonesia,-8.58.00,118.02.00,2769,Stratovolcano,,,1,1,,,,,,,,,1
2024,5,11,,,Marapi,Sumatra,Indonesia,-0.38.00,107.54.00,2885,Complex volcano,2,M,67,2,20,1,33,1,,3,521,3,10
2024,6,3,,,Kanlaon,Philippines-C,Philippines,10.41,123.13.00,2422,Stratovolcano,3,"M,G,T",,,,,,,2.5,2,2680,4,6
2024,11,3,,,Lewotobi,Lesser Sunda Is,Indonesia,-17.02.00,134.55.00,1703,Stratovolcano,,"T,P,L",9,1,,,64,,,,23,1,2
2024,12,9,,,Kanlaon,Philippines-C,Philippines,10.41,123.13.00,2422,Stratovolcano,2,"T,P",,0,,,,,2.2,2,1,1,3